,S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore,Market Cap-to-Sales Ratio
94,95,ACC,30803.68,3494.24,8.815559320481707
97,98,MRF,30030.01,3798.82,7.9050889486735345
98,99,Shriram Trans.,29327.64,3087.67,9.498307785482256
100,101,L&T Fin.Holdings,28932.43,2630.17,11.000212913994153
101,102,Punjab Natl.Bank,28270.22,12175.48,2.321897781442703
102,103,NHPC Ltd,28059.24,1497.93,18.732010174040177
103,104,Power Fin.Corpn.,27905.66,6194.77,4.50471284648179
104,105,United Breweries,27797.69,1197.1,23.220858741959738
105,106,Oil India,27404.15,2852.55,9.606895584652328
106,107,Rural Elec.Corp.,27382.24,5498.45,4.979992543353127
107,108,GlaxoSmith C H L,27340.89,1034.67,26.42474412131404
108,109,M & M Fin. Serv.,26928.37,2182.45,12.33859653142111
109,110,Divi's Lab.,26915.86,1037.88,25.933499055767523
110,111,Kansai Nerolac,26409.76,1145.01,23.065091134575244
111,112,Alkem Lab,25957.56,1422.52,18.24758878609791
112,113,LIC Housing Fin.,25880.98,3738.1,6.923565447687328
113,114,Future Retail,25859.25,4693.39,5.50971685711181
115,116,Dalmia Bhar.,25288.97,2090.54,12.096860141398874
116,117,IIFL Holdings,24788.54,1612.14,15.376170804024463
117,118,L & T Infotech,24626.1,1883.8,13.072566089818451
118,119,Aditya Bir. Nuv.,24592.21,4287.12,5.736300826662188
119,120,Emami,23720.37,756.64,31.34961144005075
120,121,Cummins India,23562.0,1354.67,17.393165863272973
121,122,Berger Paints,23537.8,1338.63,17.58349954804539
122,123,Rajesh Exports,23495.54,41304.84,0.5688326113840413
123,126,Tata Power Co.,23369.24,6949.91,3.362524119017369
125,128,Jindal Steel,23094.39,6992.56,3.302708879151555
126,129,Edelweiss.Fin.,22915.42,2069.45,11.073193360554736
128,131,Adani Enterp.,21776.04,9938.37,2.1911077973550994
